reports,event_date
187,8/20/2021
172,8/21/2021
177,8/22/2021
182,8/23/2021
158,8/24/2021
167,8/25/2021
164,8/26/2021
156,8/27/2021
162,8/28/2021
190,8/29/2021
180,8/30/2021
184,8/31/2021
246,9/1/2021
179,9/2/2021
243,9/3/2021
227,9/4/2021
232,9/5/2021
248,9/6/2021
211,9/7/2021
204,9/8/2021
237,9/9/2021
248,9/10/2021
247,9/11/2021
218,9/12/2021
206,9/13/2021
177,9/14/2021
182,9/15/2021
229,9/16/2021
209,9/17/2021
221,9/18/2021
199,9/19/2021
205,9/20/2021
197,9/21/2021
200,9/22/2021
212,9/23/2021
222,9/24/2021
247,9/25/2021
229,9/26/2021
205,9/27/2021
223,9/28/2021
193,9/29/2021
213,9/30/2021
277,10/1/2021
246,10/2/2021
236,10/3/2021
227,10/4/2021
224,10/5/2021
203,10/6/2021
173,10/7/2021
228,10/8/2021
240,10/9/2021
239,10/10/2021
228,10/11/2021
198,10/12/2021
203,10/13/2021
213,10/14/2021
216,10/15/2021
214,10/16/2021
250,10/17/2021
221,10/18/2021
207,10/19/2021
221,10/20/2021
204,10/21/2021
239,10/22/2021
221,10/23/2021
212,10/24/2021
227,10/25/2021
183,10/26/2021
224,10/27/2021
183,10/28/2021
202,10/29/2021
233,10/30/2021
265,10/31/2021
310,11/1/2021
215,11/2/2021
186,11/3/2021
216,11/4/2021
228,11/5/2021
222,11/6/2021
247,11/7/2021
222,11/8/2021
192,11/9/2021
225,11/10/2021
205,11/11/2021
221,11/12/2021
205,11/13/2021
185,11/14/2021
200,11/15/2021
159,11/16/2021
205,11/17/2021
192,11/18/2021
211,11/19/2021
212,11/20/2021
206,11/21/2021
186,11/22/2021
189,11/23/2021
199,11/24/2021
200,11/25/2021
207,11/26/2021
186,11/27/2021
188,11/28/2021
202,11/29/2021
159,11/30/2021
225,12/1/2021
187,12/2/2021
214,12/3/2021
192,12/4/2021
174,12/5/2021
202,12/6/2021
157,12/7/2021
161,12/8/2021
172,12/9/2021
202,12/10/2021
224,12/11/2021
215,12/12/2021
173,12/13/2021
186,12/14/2021
189,12/15/2021
179,12/16/2021
190,12/17/2021
202,12/18/2021
178,12/19/2021
163,12/20/2021
191,12/21/2021
178,12/22/2021
196,12/23/2021
231,12/24/2021
268,12/25/2021
211,12/26/2021
186,12/27/2021
167,12/28/2021
198,12/29/2021
212,12/30/2021
344,12/31/2021
279,1/1/2022
158,1/2/2022
186,1/3/2022
157,1/4/2022
170,1/5/2022
141,1/6/2022
170,1/7/2022
167,1/8/2022
148,1/9/2022
158,1/10/2022
134,1/11/2022
145,1/12/2022
170,1/13/2022
181,1/14/2022
168,1/15/2022
154,1/16/2022
141,1/17/2022
152,1/18/2022
120,1/19/2022
143,1/20/2022
164,1/21/2022
165,1/22/2022
135,1/23/2022
131,1/24/2022
129,1/25/2022
124,1/26/2022
161,1/27/2022
133,1/28/2022
139,1/29/2022
152,1/30/2022
146,1/31/2022
205,2/1/2022
154,2/2/2022
120,2/3/2022
124,2/4/2022
132,2/5/2022
126,2/6/2022
137,2/7/2022
154,2/8/2022
142,2/9/2022
155,2/10/2022
168,2/11/2022
167,2/12/2022
156,2/13/2022
134,2/14/2022
160,2/15/2022
150,2/16/2022
151,2/17/2022
177,2/18/2022
164,2/19/2022
181,2/20/2022
186,2/21/2022
151,2/22/2022
155,2/23/2022
136,2/24/2022
139,2/25/2022
132,2/26/2022
153,2/27/2022
163,2/28/2022
169,3/1/2022
162,3/2/2022
150,3/3/2022
169,3/4/2022
215,3/5/2022
196,3/6/2022
152,3/7/2022
165,3/8/2022
156,3/9/2022
160,3/10/2022
184,3/11/2022
160,3/12/2022
151,3/13/2022
172,3/14/2022
175,3/15/2022
170,3/16/2022
209,3/17/2022
175,3/18/2022
220,3/19/2022
205,3/20/2022
192,3/21/2022
163,3/22/2022
182,3/23/2022
182,3/24/2022
205,3/25/2022
208,3/26/2022
188,3/27/2022
210,3/28/2022
182,3/29/2022
165,3/30/2022
153,3/31/2022
226,4/1/2022
192,4/2/2022
179,4/3/2022
169,4/4/2022
157,4/5/2022
182,4/6/2022
157,4/7/2022
185,4/8/2022
176,4/9/2022
166,4/10/2022
194,4/11/2022
190,4/12/2022
142,4/13/2022
184,4/14/2022
187,4/15/2022
182,4/16/2022
177,4/17/2022
171,4/18/2022
167,4/19/2022
158,4/20/2022
166,4/21/2022
187,4/22/2022
196,4/23/2022
209,4/24/2022
180,4/25/2022
163,4/26/2022
152,4/27/2022
161,4/28/2022
184,4/29/2022
199,4/30/2022
224,5/1/2022
193,5/2/2022
160,5/3/2022
187,5/4/2022
176,5/5/2022
165,5/6/2022
189,5/7/2022
193,5/8/2022
191,5/9/2022
