reports,event_date
45,8/1/2021
38,8/2/2021
36,8/3/2021
29,8/4/2021
42,8/5/2021
29,8/6/2021
28,8/7/2021
35,8/8/2021
37,8/9/2021
30,8/10/2021
29,8/11/2021
35,8/12/2021
34,8/13/2021
33,8/14/2021
43,8/15/2021
36,8/16/2021
26,8/17/2021
22,8/18/2021
28,8/19/2021
24,8/20/2021
22,8/21/2021
27,8/22/2021
36,8/23/2021
28,8/24/2021
30,8/25/2021
37,8/26/2021
20,8/27/2021
25,8/28/2021
22,8/29/2021
34,8/30/2021
26,8/31/2021
42,9/1/2021
29,9/2/2021
42,9/3/2021
35,9/4/2021
25,9/5/2021
44,9/6/2021
38,9/7/2021
24,9/8/2021
44,9/9/2021
33,9/10/2021
42,9/11/2021
36,9/12/2021
31,9/13/2021
19,9/14/2021
28,9/15/2021
35,9/16/2021
34,9/17/2021
22,9/18/2021
31,9/19/2021
40,9/20/2021
27,9/21/2021
18,9/22/2021
39,9/23/2021
35,9/24/2021
40,9/25/2021
25,9/26/2021
47,9/27/2021
42,9/28/2021
32,9/29/2021
33,9/30/2021
55,10/1/2021
40,10/2/2021
37,10/3/2021
43,10/4/2021
27,10/5/2021
34,10/6/2021
28,10/7/2021
25,10/8/2021
34,10/9/2021
38,10/10/2021
32,10/11/2021
33,10/12/2021
34,10/13/2021
30,10/14/2021
31,10/15/2021
32,10/16/2021
39,10/17/2021
44,10/18/2021
46,10/19/2021
45,10/20/2021
30,10/21/2021
31,10/22/2021
24,10/23/2021
30,10/24/2021
29,10/25/2021
37,10/26/2021
31,10/27/2021
35,10/28/2021
38,10/29/2021
32,10/30/2021
37,10/31/2021
56,11/1/2021
43,11/2/2021
35,11/3/2021
40,11/4/2021
32,11/5/2021
32,11/6/2021
33,11/7/2021
39,11/8/2021
31,11/9/2021
51,11/10/2021
35,11/11/2021
38,11/12/2021
40,11/13/2021
24,11/14/2021
35,11/15/2021
33,11/16/2021
32,11/17/2021
42,11/18/2021
28,11/19/2021
41,11/20/2021
25,11/21/2021
34,11/22/2021
35,11/23/2021
29,11/24/2021
24,11/25/2021
25,11/26/2021
34,11/27/2021
26,11/28/2021
40,11/29/2021
30,11/30/2021
41,12/1/2021
34,12/2/2021
39,12/3/2021
28,12/4/2021
32,12/5/2021
35,12/6/2021
22,12/7/2021
29,12/8/2021
32,12/9/2021
32,12/10/2021
42,12/11/2021
28,12/12/2021
17,12/13/2021
29,12/14/2021
25,12/15/2021
25,12/16/2021
23,12/17/2021
31,12/18/2021
30,12/19/2021
30,12/20/2021
39,12/21/2021
27,12/22/2021
29,12/23/2021
41,12/24/2021
30,12/25/2021
27,12/26/2021
34,12/27/2021
25,12/28/2021
30,12/29/2021
25,12/30/2021
38,12/31/2021
28,1/1/2022
16,1/2/2022
31,1/3/2022
13,1/4/2022
22,1/5/2022
15,1/6/2022
15,1/7/2022
16,1/8/2022
21,1/9/2022
31,1/10/2022
28,1/11/2022
18,1/12/2022
16,1/13/2022
20,1/14/2022
24,1/15/2022
10,1/16/2022
14,1/17/2022
15,1/18/2022
21,1/19/2022
22,1/20/2022
16,1/21/2022
15,1/22/2022
11,1/23/2022
11,1/24/2022
22,1/25/2022
8,1/26/2022
7,1/27/2022
8,1/28/2022
20,1/29/2022
14,1/30/2022
20,1/31/2022
27,2/1/2022
23,2/2/2022
23,2/3/2022
13,2/4/2022
23,2/5/2022
19,2/6/2022
29,2/7/2022
26,2/8/2022
25,2/9/2022
23,2/10/2022
26,2/11/2022
28,2/12/2022
16,2/13/2022
27,2/14/2022
35,2/15/2022
29,2/16/2022
27,2/17/2022
39,2/18/2022
33,2/19/2022
26,2/20/2022
36,2/21/2022
31,2/22/2022
35,2/23/2022
25,2/24/2022
26,2/25/2022
28,2/26/2022
26,2/27/2022
35,2/28/2022
35,3/1/2022
26,3/2/2022
29,3/3/2022
40,3/4/2022
34,3/5/2022
46,3/6/2022
39,3/7/2022
29,3/8/2022
29,3/9/2022
30,3/10/2022
22,3/11/2022
18,3/12/2022
18,3/13/2022
30,3/14/2022
43,3/15/2022
31,3/16/2022
40,3/17/2022
25,3/18/2022
35,3/19/2022
42,3/20/2022
13,3/21/2022
29,3/22/2022
32,3/23/2022
32,3/24/2022
50,3/25/2022
33,3/26/2022
32,3/27/2022
37,3/28/2022
33,3/29/2022
28,3/30/2022
34,3/31/2022
30,4/1/2022
32,4/2/2022
43,4/3/2022
31,4/4/2022
30,4/5/2022
43,4/6/2022
34,4/7/2022
38,4/8/2022
18,4/9/2022
23,4/10/2022
22,4/11/2022
37,4/12/2022
27,4/13/2022
33,4/14/2022
31,4/15/2022
36,4/16/2022
36,4/17/2022
32,4/18/2022
27,4/19/2022
31,4/20/2022
27,4/21/2022
28,4/22/2022
32,4/23/2022
38,4/24/2022
32,4/25/2022
39,4/26/2022
25,4/27/2022
33,4/28/2022
36,4/29/2022
36,4/30/2022
35,5/1/2022
35,5/2/2022
42,5/3/2022
31,5/4/2022
35,5/5/2022
22,5/6/2022
31,5/7/2022
37,5/8/2022
37,5/9/2022
33,5/10/2022
27,5/11/2022
33,5/12/2022
28,5/13/2022
43,5/14/2022
50,5/15/2022
37,5/16/2022
36,5/17/2022
29,5/18/2022
32,5/19/2022
35,5/20/2022
38,5/21/2022
39,5/22/2022
35,5/23/2022
45,5/24/2022
36,5/25/2022
28,5/26/2022
31,5/27/2022
43,5/28/2022
37,5/29/2022
37,5/30/2022
34,5/31/2022
55,6/1/2022
45,6/2/2022
38,6/3/2022
27,6/4/2022
40,6/5/2022
32,6/6/2022
42,6/7/2022
29,6/8/2022
38,6/9/2022
38,6/10/2022
26,6/11/2022
28,6/12/2022
30,6/13/2022
28,6/14/2022
26,6/15/2022
31,6/16/2022
43,6/17/2022
46,6/18/2022
31,6/19/2022
36,6/20/2022
34,6/21/2022
36,6/22/2022
49,6/23/2022
32,6/24/2022
38,6/25/2022
30,6/26/2022
50,6/27/2022
41,6/28/2022
30,6/29/2022
39,6/30/2022
38,7/1/2022
58,7/2/2022
48,7/3/2022
30,7/4/2022
28,7/5/2022
36,7/6/2022
51,7/7/2022
39,7/8/2022
43,7/9/2022
41,7/10/2022
50,7/11/2022
34,7/12/2022
33,7/13/2022
45,7/14/2022
28,7/15/2022
44,7/16/2022
31,7/17/2022
29,7/18/2022
32,7/19/2022
37,7/20/2022
18,7/21/2022
18,7/22/2022
34,7/23/2022
37,7/24/2022
53,7/25/2022
35,7/26/2022
37,7/27/2022
39,7/28/2022
40,7/29/2022
37,7/30/2022
37,7/31/2022
63,8/1/2022
34,8/2/2022
34,8/3/2022
32,8/4/2022
44,8/5/2022
34,8/6/2022
34,8/7/2022
41,8/8/2022
29,8/9/2022
35,8/10/2022
38,8/11/2022
32,8/12/2022
39,8/13/2022
33,8/14/2022
46,8/15/2022
28,8/16/2022
40,8/17/2022
35,8/18/2022
40,8/19/2022
56,8/20/2022
47,8/21/2022
35,8/22/2022
38,8/23/2022
34,8/24/2022
35,8/25/2022
28,8/26/2022
35,8/27/2022
28,8/28/2022
56,8/29/2022
43,8/30/2022
37,8/31/2022
35,9/1/2022
25,9/2/2022
35,9/3/2022
29,9/4/2022
23,9/5/2022
52,9/6/2022
53,9/7/2022
38,9/8/2022
37,9/9/2022
32,9/10/2022
43,9/11/2022
46,9/12/2022
44,9/13/2022
32,9/14/2022
56,9/15/2022
29,9/16/2022
27,9/17/2022
36,9/18/2022
43,9/19/2022
42,9/20/2022
